‰„«œ;‰«„; ⁄œ«œ;ÕÃ„;«—“‘;œ?—Ê“;«Ê·?‰;¬Œ—?‰ „⁄«„·Â - „ﬁœ«—;¬Œ—?‰ „⁄«„·Â -  €??—;¬Œ—?‰ „⁄«„·Â - œ—’œ;ﬁ?„  Å«?«‰? - „ﬁœ«—;ﬁ?„  Å«?«‰? -  €??—;ﬁ?„  Å«?«‰? - œ—’œ;ò„ —?‰;»?‘ —?‰;EPS;P/E;Œ—?œ -  ⁄œ«œ;Œ—?œ - ÕÃ„;Œ—?œ - ﬁ?„ ;›—Ê‘ - ﬁ?„ ;›—Ê‘ - ÕÃ„;›—Ê‘ -  ⁄œ«œ
 „·Ì612; ”ÂÌ·«  „”ﬂ‰ »«‰ﬂ „·Ì-«”›‰œ96;4;31;17669225;542834;569975;569975;27,141.00;5.00;569975;27,141.00;5.00;569975;569975;;;8;107;569975;0;0;0
‘’œ›;’‰⁄ Ì œÊœÂ ›«„;2469;90089;1649529590;17439;18310;18310;871.00;4.99;17466;27.00;0.15;18310;18310;669;26.11;1402;4648855;18310;18310;2492;122
›”«;Å —Ê‘Ì„Ì ›”«;351;1865274;6754157154;3732;3621;3621;-111.00;-2.97;3690;-42.00;-1.13;3621;3621;10;369;9;25073;3621;3621;7186911;486
 ”Â9705;«„ Ì«“  ”ÂÌ·«  „”ﬂ‰ „—œ«œ97;258;2576;1552276634;628160;600000;596752;-31,408.00;-5.00;602592;-25,568.00;-4.07;596752;625000;;;0;0;0;596752;49;4
›—¬Ê—;›—¬Ê—Ìù„Ê«œ„⁄œ‰Ìù«Ì—«‰ù;2545;6545973;1.55477E+11;24930;23800;23690;-1,240.00;-4.97;23750;-1,180.00;-4.73;23690;24500;251;94.62;5;1712;23700;23700;3337;10
÷ŒÊœ7067;«Œ Ì«—Œ ŒÊœ—Ê-7500-1399/07/09;0;0;0;2100;0;2100;0;0;2100;0;0;0;0;;;1;20;220;2323;1;1
÷»œ—8068;«Œ Ì«—Œ ‘»‰œ—-51580-1399/08/18;0;0;0;22233;0;18400;-3,833.00;-17.24;22233;0;0;0;0;;;1;1;8000;0;0;0
«—Ê‰œ01;„‰›⁄  ’»« «—Ê‰œ «„Ìœ14001113;0;0;0;862582;0;860000;-2,582.00;-0.30;862582;0;0;0;0;;;1;1250;948840;0;0;0
À‰«„;” ”«Œ „«‰Ì » ‰«„ ¬Ê—«‰ „Â‰œ”Ì;707;3355377;69401390373;20082;20684;20684;602.00;3.00;20684;602.00;3.00;20500;20684;86;240.51;23;2305558;20684;20684;1651;3
÷»œ—8058;«Œ Ì«—Œ ‘»‰œ—-25580-1399/08/18;0;0;0;30500;0;30500;0;0;30500;0;0;0;0;;;1;5;23001;41500;2;1
‘” «994;«Ã«—Â  «„Ì‰ «Ã „«⁄Ì-‰ÊÌ‰991226;0;0;0;1001153;1101268;1001153;0;0;1001153;0;0;0;0;;;10;148;1101268;0;0;0
ÕÅ«—”«; Ê”⁄Â Õ„· Ê ‰ﬁ· —Ì·Ì Å«—”Ì«‰;972;1522666;88985157971;61144;58090;58087;-3,057.00;-5.00;58440;-2,704.00;-4.42;58087;61990;1142;51.17;4;1407;58087;58087;1213331;221
‘ê«„—‰;„Ã „⁄ Å —Ê ’‰⁄  ê«„—Ê‰;4;11642;3278387200;277500;281600;281600;4,100.00;1.48;281600;4,100.00;1.48;281600;281600;-2051;-137.3;1;125;277500;0;0;0
÷’«œ8016;«Œ Ì«—Œ Ê»’«œ—-3600-1399/08/11;11;551;776500000;1664;1400;1500;-164.00;-9.86;1409;-255.00;-15.32;1400;1500;;;1;10;1400;1980;34;1
 „·Ì710; ”ÂÌ·«  „”ﬂ‰ ». „·Ì-œÌ97;0;0;0;155065;0;155065;0;0;155065;0;0;0;0;;;0;0;0;155065;3;1
÷Å‰«7045;«Œ Ì«—Œ —„Å‰«-60000-1399/07/13;0;0;0;13900;0;13800;-100.00;-0.72;13900;0;0;0;0;;;1;2;7890;9900;10;1
Ê¬–—;”—„«ÌÂùê–«—Ìù Ê”⁄Âù¬–—»«ÌÃ«‰ù;546;389249;69274644530;169500;177970;177970;8,470.00;5.00;177970;8,470.00;5.00;177970;177970;6626;26.86;716;2010392;177970;177970;6098;15
÷ŒÊœ7054;«Œ Ì«—Œ ŒÊœ—Ê-3400-1399/07/09;0;0;0;4501;0;4501;0;0;4501;0;0;0;0;;;0;0;0;4499;7;1
Ì«ﬁÊ ;’‰œÊﬁ ” Ì«ﬁÊ  ¬ê«Â-À«» ;41;95154;1027682100;10800;10780;10800;0;0;10800;0;0;10780;10810;;;1;1000;10810;10810;121196;6
÷€œ—8031;«Œ Ì«—Œ Ê€œÌ—-7010-1399/08/26;0;0;0;9800;0;9800;0;0;9800;0;0;0;0;;;1;5;13000;0;0;0
Õ”Ì‰«; Ê”⁄Â Œœ„«  œ—Ì«ÌÌ Ê»‰œ—Ì ”Ì‰«;1062;1231938;92467771535;76209;74100;74030;-2,179.00;-2.86;75059;-1,150.00;-1.51;73150;79500;3044;24.66;2;462;74005;74005;5476;3
—«Ì«‰911;„‘«—ﬂ  —«Ì«‰ ”«ÌÅ«-3„«ÂÂ18%;0;0;0;1029990;0;1029990;0;0;1029990;0;0;0;0;;;1;3000;1000000;1029990;28;1
 „·Ì803; ”ÂÌ·«  „”ﬂ‰ ». „·Ì-Œ—œ«œ98;0;0;0;135937;0;144165;8,228.00;6.05;135937;0;0;0;0;;;0;0;0;188824;3;1
«·»—“02;«Ã«—Â —Ì·Ì «·»—“‰Ì—Ê14020514;0;0;0;850000;0;850000;0;0;850000;0;0;0;0;;;2;2996;823982;1000000;1388;1
ﬂ·—;ﬂ·— Å«—”;5725;2857478;2.62761E+11;91066;93000;93500;2,434.00;2.67;91955;889.00;0.98;88572;95000;3670;25.06;14;2823;93500;93500;5281;34
 ”Â9803;«„ Ì«“  ”ÂÌ·«  „”ﬂ‰ Œ—œ«œ98;152;1194;786888082;681517;700000;647442;-34,075.00;-5.00;659035;-22,482.00;-3.30;647442;709000;;;0;0;0;647442;193;1
«›ﬁÕ;Õ .›—Ê‘ê«Â “‰ÃÌ—Â «Ì «›ﬁ ﬂÊ—Ê‘;1803;3717281;2.38129E+11;62388;62011;63880;1,492.00;2.39;64060;1,672.00;2.68;60000;67690;;;3;1780;63880;63880;6453;12
 „·Ì712; ”ÂÌ·«  „”ﬂ‰ ». „·Ì-«”›‰œ97;5;143;25663495;188910;179465;179465;-9,445.00;-5.00;179465;-9,445.00;-5.00;179465;179465;;;2;132;179465;198355;14;1
€œ«„;ŒÊ—«ﬂù  œ«„ù Å«—”ù;250;161522;22530703780;146830;139490;139490;-7,340.00;-5.00;143170;-3,660.00;-2.49;139490;139490;-203;-705.27;5;648;139490;139490;683338;818
Œ Ê—Õ;Õ . —«œÌ« Ê— «Ì—«‰ù;3202;4455374;1.74909E+11;42840;42000;39000;-3,840.00;-8.96;39260;-3,580.00;-8.36;38560;42840;;;13;4306;39000;39000;4457;21
Œ’œ—«;’‰⁄ Ìù œ—Ì«ÌÌù «Ì—«‰ù;9564;53617552;5.3133E+11;10203;9999;9897;-306.00;-3.00;9910;-293.00;-2.87;9897;9999;18;550.56;125;451860;9897;9897;37962516;2045
Ê”ÅÂ;”—„«ÌÂùê–«—Ìù ”ÅÂù;4267;38473468;8.49051E+11;21030;22080;22080;1,050.00;4.99;22070;1,040.00;4.95;21110;22080;883;24.99;1381;10260553;22080;22080;9534;18
‘” «;”—„«ÌÂ ê–«—Ì  «„Ì‰ «Ã „«⁄Ì;174461;249360663;1.4885E+13;57510;58800;60290;2,780.00;4.83;59690;2,180.00;3.79;54640;60380;;;78;154168;60250;60290;8301;1
€œ‘ ;œ‘ ù „—€«»ù;56;167982;50179583040;284500;298720;298720;14,220.00;5.00;296540;12,040.00;4.23;298720;298720;1411;210.16;287;1383980;298720;0;0;0
 Â—«‰112;„‘«—ﬂ  ‘  Â—«‰112-3„«ÂÂ18%;0;0;0;1000000;0;1000000;0;0;1000000;0;0;0;0;;;2;11999;990000;0;0;0
Œ“«„Ì«;“«„Ì«œ;18308;62054757;1.6653E+12;26040;25200;27340;1,300.00;4.99;26840;800.00;3.07;25200;27340;215;124.84;2755;8051338;27340;27340;74223;50
÷‘‰«7075;«Œ Ì«—Œ ‘Å‰«-27600-1399/07/28;1;1;27300000;23000;27300;27300;4,300.00;18.70;27300;4,300.00;18.70;27300;27300;;;1;1;20000;27299;2;2
’«ÌÅ«112;’ﬂÊﬂ „—«»ÕÂ ”«ÌÅ«112-3„«ÂÂ 16%;2;43;44679236;989574;1039052;1039052;49,478.00;5.00;1039052;49,478.00;5.00;1039052;1039052;;;16;222;1039052;1039052;12;1
«Ã«œ23;«Ã«—Â œÊ· Ì ¬Å—Ê—‘-„· 991118;0;0;0;1000000;0;1000000;0;0;1000000;0;0;0;0;;;1;1000;1000001;0;0;0
«Ã«œ25;«Ã«—Â œÊ· Ì ¬Å—Ê—‘-”ÅÂ—991118;0;0;0;1000010;0;1000010;0;0;1000010;0;0;0;0;;;1;300;1000000;1050000;2023;1
Ê Ê’«;ê—ÊÂ ”  Ê”⁄Â ’‰⁄ Ì «Ì—«‰;1076;5557604;1.196E+11;20500;21520;21520;1,020.00;4.98;21520;1,020.00;4.98;21520;21520;520;41.38;1058;5619613;21520;21520;21994;15
÷”Å«8017;«Œ Ì«—Œ Œ”«Å«-2200-1399/08/26;9;40;94711000;3800;2374;2999;-801.00;-21.08;2368;-1,432.00;-37.68;2000;2999;;;4;8;2999;2999;5;1
÷„·Ì8077;«Œ Ì«—Œ ›„·Ì -29750-1399/08/06;14;45;481391000;9558;10990;10000;442.00;4.62;10698;1,140.00;11.93;10000;11000;;;1;2;10000;10900;20;1
«Œ“«821;«”‰«œŒ“«‰Â-„21»ÊœÃÂ98-020906;73;76826;43076826599;569680;562000;569700;20.00;0;560706;-8,974.00;-1.58;542000;570001;;;1;350;569600;569600;309;1
÷»œ—8064;«Œ Ì«—Œ ‘»‰œ—-37580-1399/08/18;0;0;0;27000;0;27000;0;0;27000;0;0;0;0;;;1;100;5;0;0;0
ﬁ‰ﬁ‘;ﬁ‰œ ‰ﬁ‘ ÃÂ«‰;48;21913;2095321060;97571;95620;95620;-1,951.00;-2.00;97150;-421.00;-0.43;95620;95620;3215;30.22;0;0;0;95620;850623;424
Ê«Ì—«‰;·Ì“Ì‰ê «Ì—«‰Ì«‰;7134;32626369;4.5521E+11;13650;14330;13400;-250.00;-1.83;13950;300.00;2.20;13010;14330;577;24.18;27;49316;13400;13400;86040;23
„ﬂ—Ã112;„‘«—ﬂ  ‘Â—œ«—Ì ﬂ—Ã-3„«ÂÂ18%;0;0;0;965000;0;965000;0;0;965000;0;0;0;0;;;1;7500;960000;0;0;0
 ”Â9811;«„ Ì«“  ”ÂÌ·«  „”ﬂ‰ »Â„‰98;53;564;377229144;704048;668846;668846;-35,202.00;-5.00;668846;-35,202.00;-5.00;668846;668846;;;1;10;668846;668846;458;6
‘” «003;«Ã«—Â  «„Ì‰ «Ã „«⁄Ì-”ÅÂ—000523;0;0;0;1010583;1110001;1010583;0;0;1010583;0;0;0;0;;;7;108;1111641;1111641;25;2
€œÌ”;Å«ﬂœÌ”;4168;6042693;3.97669E+11;62932;64500;66078;3,146.00;5.00;65810;2,878.00;4.57;62210;66078;1918;34.31;26;27849;66078;66078;1562;6
‘ÊÌ‰œÂ;„œÌ—Ì  ’‰⁄  ‘ÊÌ‰œÂ  .’.»Â‘Â—;2870;2818870;1.47579E+11;53880;52010;52700;-1,180.00;-2.19;52350;-1,530.00;-2.84;51550;55000;1896;27.61;3;587;54900;54900;1968;5
ﬂœ„«;„⁄œ‰Ìù œ„«Ê‰œ;122;478269;36807582240;73300;76960;76960;3,660.00;4.99;75750;2,450.00;3.34;76960;76960;0;;1435;1762726;76960;76960;111;2
 ﬂ‰Ê; ﬂ‰Ê «—;183;883993;16000273300;19050;18100;18100;-950.00;-4.99;18680;-370.00;-1.94;18100;18100;-8;-2335;0;0;0;18100;3223302;548
